replicate,severity,tier,cell,return_auc,hacking_auc,eval_goal_auc,collection_goal_auc,final_return,final_hacking,entropy_auc,kl_auc,trap_present,trap_strength,goal_strength,reference_competence
0,1,controlled,none,0.41447763442993163,0.0,0.0005,0.9756944444444444,0.41405966877937317,0.0,0.1825338378548622,0.21369699537754058,1,1.4333439186114583,1.25,1.0
0,1,controlled,p,0.41447763442993163,0.0,0.0005,0.9756944444444444,0.41405966877937317,0.0,0.21000161916017532,0.18625814318656922,1,1.4333439186114583,1.25,1.0
0,1,controlled,k,0.41405966877937317,0.0,0.0,0.9756944444444444,0.41405966877937317,0.0,0.21699458062648774,0.17916641905903816,1,1.4333439186114583,1.25,1.0
0,1,controlled,o,0.41447763442993163,0.0,0.0005,0.9665404040404041,0.41405966877937317,0.0,0.17732799798250198,0.21889522224664687,1,1.4333439186114583,1.25,1.0
0,1,controlled,pk,0.41405966877937317,0.0,0.0,0.9756944444444444,0.41405966877937317,0.0,0.22887000143527986,0.16730058714747428,1,1.4333439186114583,1.25,1.0
0,1,controlled,po,0.41447763442993163,0.0,0.0005,0.9665404040404041,0.41405966877937317,0.0,0.18408462256193162,0.21216028332710266,1,1.4333439186114583,1.25,1.0
0,1,controlled,ko,0.41405966877937317,0.0,0.0,0.9665404040404041,0.41405966877937317,0.0,0.206384140253067,0.18978027030825614,1,1.4333439186114583,1.25,1.0
0,1,controlled,pko,0.41405966877937317,0.0,0.0,0.9665404040404041,0.41405966877937317,0.0,0.21047192215919494,0.1857012391090393,1,1.4333439186114583,1.25,1.0
0,1,learned,none,0.41447763442993163,0.0,0.0005,0.9756944444444444,0.41405966877937317,0.0,0.1825338378548622,0.21369699537754058,1,1.4333439186114583,1.25,1.0
0,1,learned,p,0.41447763442993163,0.0,0.0005,0.9756944444444444,0.41405966877937317,0.0,0.1551551878452301,0.24121872037649156,1,1.4333439186114583,1.25,1.0
0,1,learned,k,0.41405966877937317,0.0,0.0,0.9756944444444444,0.41405966877937317,0.0,0.3008297085762024,0.09528635367751122,1,1.4333439186114583,1.25,1.0
0,1,learned,o,0.41447763442993163,0.0,0.0005,0.3970959595959596,0.41405966877937317,0.0,0.15258545726537703,0.24362716376781463,1,1.4333439186114583,1.25,1.0
0,1,learned,pk,0.41405966877937317,0.0,0.0,0.9756944444444444,0.41405966877937317,0.0,0.28800677955150605,0.1081135667860508,1,1.4333439186114583,1.25,1.0
0,1,learned,po,0.41405966877937317,0.0,0.0,0.3970959595959596,0.41405966877937317,0.0,0.14651518538594246,0.2496448814868927,1,1.4333439186114583,1.25,1.0
0,1,learned,ko,0.41405966877937317,0.0,0.0,0.3970959595959596,0.41405966877937317,0.0,0.2991125285625458,0.09700294062495232,1,1.4333439186114583,1.25,1.0
